"2014-06-30", "2014-08-05", 57.37 
"2014-09-30", "2014-11-04", 60.02 
"2014-12-31", "2015-02-02", -471.32 
"2015-03-31", "2015-05-07", NaN 
"2015-06-30", "2015-08-03", 71.21 
"2015-09-30", "2015-11-04", -112.30 
"2015-12-31", "2016-02-01", -127.60 
"2016-03-31", "2016-05-09", NaN 
"2016-06-30", "2016-08-02", 115.10 
"2016-09-30", "2016-11-01", 27.10 
"2016-12-31", "2017-02-07", 236.70 
"2017-03-31", "2017-05-15", 172.30 
"2017-06-30", "2017-08-14", 158.59 
"2017-09-30", "2017-11-14", 166.75 
"2017-12-31", "2018-02-14", 451.16 
"2018-03-31", "2018-05-15", 68.60 
"2018-06-30", "2018-08-14", 264.92 
"2018-09-30", "2018-11-14", 234.77 
"2018-12-31", "2019-02-14", -2.20 
"2019-03-31", "2019-05-15", NaN 
"2019-06-30", "2019-08-14", 119.28 
